title,tags
Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape. Adventure Science Fiction Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck Martin Ferrero BD Wong Joseph Mazzello Ariana Richards Samuel L. Jackson Wayne Knight Gerald R. Molen Miguel Sandoval Cameron Thor Christopher John Fields Whit Hertford Dean Cundey Jophery C. Brown Tom Mishler Greg Burson Adrian Escober Richard Kiley Brad M. Bucklin Laura Burnett Gary Rodriguez Brian Smrz Robert 'Bobby Z' Zajonc exotic island dna paleontology tyrannosaurus rex triceratops brontosaurus electric fence island dinosaur amusement park theme park jurassic park"
Wyatt Earp,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's. Drama Action Western Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby Jeff Fahey Joanna Going Mark Harmon Michael Madsen Catherine O'Hara Bill Pullman Isabella Rossellini Tom Sizemore JoBeth Williams Mare Winningham James Gammon Rex Linn Adam Baldwin Randle Mell Annabeth Gish Lewis Smith Ian Bohen Betty Buckley Owen Roizman gunslinger gambling sheriff deputy sheriff wretch wyatt earp historical figure doc holliday"
Clear and Present Danger,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel. Action Drama Thriller Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny Harris Yulin Donald Moffat Miguel Sandoval Benjamin Bratt Raymond Cruz Dean Jones Thora Birch Ann Magnuson Hope Lange Tom Tammi James Earl Jones Ted Raimi Greg Germann assassination spy ambush cia helicopter based on novel usa president sniper fbi colombia drug traffic bomber mission of murder mercenary insurgence coast guard spying war car bomb drug cartel conspiracy shootout infantry violence jack ryan political cover-up
Dragon Blade,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds. Action Drama Adventure Jackie Chan John Cusack Adrien Brody Sharni Vinson Benny Urquidez Kevin Lee Raiden Integra Tomer Oz Alfred Hsing Choi Si-won Max Huang Paul Philip Clark Lorie Pester Joel Adrian Joel Adrian Harry Oram Kyle Shapiro Jonathan Paulson Vander McLeod Philippe Joly Faith Ugurlu Danny Salay Pierre Bourdaud Jai Day Murray Clive Walker Emrah Yilmaz Danny Cameron Kyle Cameron Kyle Andrew MacNeil Daniel P. Cameron Miroslav Karel J.J. Demiannay Alexander Corne James Lee Guy Will Lefebvre Lin Peng Steve Yoo "
Little Man,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back. Comedy Crime Marlon Wayans Shawn Wayans Kerry Washington John Witherspoon Tracy Morgan Lochlyn Munro baby adoption married couple small person criminal"
U-571,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'. Action Drama Thriller War Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith Thomas Kretschmann Jake Weber Jack Noseworthy Tom Guiry Will Estes Terrence 'T.C.' Carson submarine world war ii north atlantic mission"
The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings. Comedy Drama Romance Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith Shawna Waldron Samantha Mathis David Paymer Richard Dreyfuss Nina Siemaszko Wendie Malick Beau Billingslea Gail Strickland Joshua Malina Clement von Franckenstein John Mahoney John Mahon Gabriel Jarret white house usa president new love widower wildlife conservation"
The Love Guru,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup. Comedy Romance Mike Myers Jessica Alba Justin Timberlake Romany Malco Meagan Good Verne Troyer Manu Narayan Omid Djalili Ben Kingsley Deepak Chopra Stephen Colbert Jim Gaffigan Val Kilmer Jessica Simpson Mariska Hargitay Kanye West Trevor Heins John Oliver Samantha Bee sport ice hockey guru comedy bollywood india spiritualist broken heart self-help stanley cup chastity ashram expert"
3000 Miles to Graceland,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy. Action Adventure Comedy Thriller Crime Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak David Arquette Jon Lovitz Howie Long Thomas Haden Church Bokeem Woodbine Ice-T Louis Lombardi Michael Kopsa casino submachine gun hold-up robbery elvis reference to elvis presley duringcreditsstinger"
The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception. Crime Drama Mystery Western Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demián Bichir Tim Roth Michael Madsen Bruce Dern James Parks Dana Gourrier Zoë Bell Lee Horsley Gene Jones Keith Jefferson Craig Stark Belinda Owino Channing Tatum Quentin Tarantino bounty hunter wyoming mountains narration hangman stagecoach blizzard post civil war
Blades of Glory,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team. Action Comedy Drama Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer William Fichtner Craig T. Nelson Romany Malco Nick Swardson Scott Hamilton Andy Richter Greg Lindsay Rob Corddry Nick Jameson Tom Virtue Ben Wilson William Daniels Zachary Ferren Rémy Girard Steven M. Gagnon Nancy Kerrigan Luke Wilson Brian Boitano Dorothy Hamill Peggy Fleming Sasha Cohen Jim Lampley Katharine Towne Kerry Rossall competition olympic games sport rivalry ice skating"
Hop,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car. Animation Comedy Family Russell Brand James Marsden Kaley Cuoco Hank Azaria Elizabeth Perkins Gary Cole Hugh Laurie Tiffany Espensen David Hasselhoff Chelsea Handler Dustin Ybarra coup d'etat slacker easter easter bunny aftercreditsstinger live action and animation"
300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy. Action Adventure War Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan Michael Fassbender Tom Wisdom Andrew Tiernan Andrew Pleavin Rodrigo Santoro Giovani Cimmino Tyler Neitzel Stephen McHattie Eli Snyder Tim Connolly Marie-Julie Rivest Peter Mensah Arthur Holden Michael Sinelnikoff Kelly Craig Greg Kramer Alex Ivanovici Tom Rack David Francis James Bradford Sebastian St. Germain John Dunn-Hill Dennis St John Neil Napier Dylan Smith Maurizio Terrazzano Kwasi Songui Alexandra Beaton Frédéric Smith Loucas Minchillo Nicholas Minchillo Andrew Shaver Marcel Jeannin Robin Wilcock Robert Paradis Jere Gillis Jeremy Thibodeau Tyrone Benskin Robert Maillet Patrick Sabongui David Schaap Leon Laderach Dave Lapommeray Vervi Mauricio Charles Papasoff Isabelle Champeau Veronique-Natale Szalankiewicz Maéva Nadon David Thibodeau Jean Michel Paré Stewart Myiow Andreanne Ross Sara Giacalone Ariadne Bourbonnière Isabelle Fournel Sandrine Merette-Attiow Danielle Hubbard Elisabeth Etienne Ruan Vibegaard Genevieve Guilbault Bonnie Mak Amélie Sorel Caroline Aspirot Gina Gagnon Tania Trudell Stéphanie Aubry Mercedes Leggett Stephania Gambaroff Chanelle Lamothe Sabrina-Jasmine Guilbault Manny Cortez Tuazon Atif Y. Siddiqi Camille Rizkallah Trudi Hanley Neon Cobran Gary A. Hecker Devin Delorme Deke Richards Darren Shahlavi Marc Trottier Duy Vo Van Agnieshka Wnorowska evisceration javelin shield army fall from height ancient world s.a.t. minions"
Meet the Fockers,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract. Comedy Romance Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand Blythe Danner Tim Blake Nelson Alanna Ubach Shelley Berman Owen Wilson Ray Santiago Spencer Pickren Bradley Pickren Kali Rocha Dorie Barton Jack Plotnick Wayne Thomas Yorke Max Hoffman Linda O'Neil cia parents kids relationship florida anti-authoritarian upbringing jew parents-in-law orderly just married sex therapy bad father-in-law family illegitimate son"
Marley & Me,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog. Comedy Family Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin Nathan Gamble Haley Bennett Ann Dowd Clarke Peters Finley Jacobsen Lucy Merriam Bryce Robinson Ben Hyland Sarah O'Kelly Keith Hudson Haley Hudson Tom Irwin Alec Mapa Sandy Martin Joyce Van Patten Zabryna Guevara Megan Grace Haley Higgins Ana Ayora Matthew J. Walters Nicole Herold Paul Tei Gaston Renaud Angelina Assereto Emmett Robin Lisa Varga Dylan Henry Stephen Lee Davis Michael Baskin Bradley Frishman Eric Conger journalist based on novel puppy dog duringcreditsstinger columnist animal lead"
The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution. Fantasy Drama Crime Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell Patricia Clarkson Michael Jeter Sam Rockwell Graham Greene Doug Hutchison Barry Pepper Jeffrey DeMunn Harry Dean Stanton Gary Sinise Dabbs Greer Eve Brent William Sadler Mack Miles Rai Tasco Paula Malcomson Brian Libby Brent Briscoe Bill McKinney Rachel Singer Scotty Leavenworth Bill Gratton Dee Croxton Rebecca Klingler Gary Imhoff Van Epperson Phil Hawn Ted Hollis Robert Malone southern usa black people mentally disabled based on novel heal death row jail guard great depression prison guard electric chair magic realism healing death row inmate 1930s"
Wild Hogs,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos. Action Adventure Comedy Tim Allen John Travolta Martin Lawrence William H. Macy Ray Liotta Marisa Tomei John C. McGinley M.C. Gainey Jill Hennessy Dominic Janes Tichina Arnold Stephen Tobolowsky Jason Sklar Randy Sklar Drew Sidora Jonathan Rau Peter Fonda midlife crisis road trip politically incorrect motorcycle gang biker film awkwardness travel writer middle age middle aged man"
Chicken Little,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken. Animation Family Comedy Zach Braff Joan Cusack Dan Molina Steve Zahn Garry Marshall Amy Sedaris Mark Walton Don Knotts Sean Elmore Matthew Josten Evan Dunn Fred Willard Catherine O'Hara Mark Dindal Patrick Stewart Wallace Shawn Patrick Warburton Adam West Harry Shearer Joe Whyte Kelly Hoover Will Finn Dara McGarry Mark Kennedy fish small town space marine chicken alien best friend alien invasion animal duringcreditsstinger 3d"
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. Mystery Thriller Drama Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry Kim Dickens Patrick Fugit Missi Pyle Emily Ratajkowski Casey Wilson Lola Kirke Boyd Holbrook David Clennon Lisa Banes Scoot McNairy Sela Ward Kathleen Rose Perkins Lee Norris Leonard Kelly-Young Jamie McShane Pete Housman Lynn A. Freedman Cyd Strittmatter Ricky Wood Donna Rusch Mark Atteberry Darin Cooper Kate Campbell Brett Leigh Antonio St. James Lauren Glazier Julia Prud'homme Cooper Thornton Casey Ruggieri Ashley Didion Lexis Nutt L.A. Williams Blake Sheldon Sean Guse Fred Cross Scott Takeda Mark T Anderson Kathy Sweeney-Meadows Marc Abbink Christina Alex Samuel Baca Bill Blair Thomas R. Baker Gregoer Boru Will C. Caroline Clements Nancy DeMars Davina Joy Michael Kelly Elester Latham Aaron Massey Orion McCabe Roz McHenry Bryan McKinley Teebone Mitchell Justin Nesbitt Mark Parrish Jaclyn Rose Sahlima Joel Shock Robert Tarpinian Tracy Weisert Michelle Winters Tracy Brotherton Matilde Matteucci Dale Shane Leslie A. Hughes based on novel marriage crisis disappearance cheating husband missing person search party criminal lawyer wife murder murder suspect missing wife"
The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for? Action Drama Mystery Thriller Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox Adewale Akinnuoye-Agbaje Gabriel Mann Walton Goggins Josh Hamilton Julia Stiles Orso Maria Guerrini Tim Dutton Denis Braccini Nicky Naude David Selburg Demetri Goritsas Russell Levy Anthony Green Hubert Saint-Macary David Bamber Gwenael Clause Emanuel Booz Philippe Durand Vincent Franklin Paulette Frantz Thierry René Roger Frost David Gasman Harry Gilbert Delphine Lanson William Cagnard Kait Tenison Joseph Beddelin Rainer Werner Katie Thynne Aaron Lilly Ronald Benefield Bradley J. Goode Troy Lenhardt Joshua McNew Joe Montana John Pawlikowski Michael Rix Brad Rizer Andrew Webster Houston Williams Alain Grellier Arnaud Henriet Jean-Yves Bilien Danny Erskine Elwin 'Chopper' David paris barcelona spain assassin based on novel secret identity amnesia sniper passport mission of murder lovers escape shootout foot chase cell phone car chase multiple identities surveillance camera hamburg germany fishing boat langley virginia safe deposit box flashback hand to hand combat"
GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain. Adventure Action Thriller Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker Judi Dench Gottfried John Robbie Coltrane Alan Cumming Tchéky Karyo Desmond Llewelyn Samantha Bond Michael Kitchen Serena Gordon Simon Kunz Billy J. Mitchell Constantine Gregory Minnie Driver Michelle Arthur Ravil Isyanov cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army
The General's Daughter,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell. Crime Drama Mystery Thriller John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson Daniel von Bargen Clarence Williams III James Woods John Beasley Boyd Kestner Brad Beyer John Benjamin Hickey Rick Dial Peter Weireter Mark Boone Junior Jared Chandler suicide detective based on novel bondage general paranoia nudity u.s. army investigation politics cover-up murder betrayal conspiracy gang rape father daughter relationship videotape military law"
The Truman Show,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life. Comedy Drama Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris Holland Taylor Brian Delate Blair Slater Heidi Schanz Ron Taylor Don Taylor Ted Raymond Peter Krause O-Lan Jones Krista Lynn Landolfi Paul Giamatti Harry Shearer Jeanette Miller Philip Glass Una Damon Joe Minjares Philip Baker Hall John Pleshette Terry Camilleri Joel McKinnon Miller claustrophobia hidden camera dystopia reality show make believe pretend"
The Prince of Egypt,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world. Adventure Animation Drama Family Music Val Kilmer Ralph Fiennes Patrick Stewart Michelle Pfeiffer Sandra Bullock Jeff Goldblum Danny Glover Helen Mirren Steve Martin Martin Short James Avery Amick Byram Aria Curzon Sally Dworsky Ofra Haza Brian Stokes Mitchell Bobby Motown Eden Riegel Shira Roth Stephanie Sawyer Francesca Smith Linda Shayne moses egypt pyramid exodus kingdom governance ancient egypt hebrew pharaoh woman director"
Daddy Day Care,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center. Comedy Family Eddie Murphy Jeff Garlin Steve Zahn Regina King Kevin Nealon Siobhan Fallon Lacey Chabert Jonathan Katz Lisa Edelstein Laura Kightlinger Leila Arcieri Anjelica Huston Khamani Griffin Max Burkholder Arthur Young Cheap Trick Damani Roberts Joan Blair Elle Fanning Cesar Flores Hailey Noelle Johnson Felix Achille Shane Baumel Jimmy Bennett Connor Carmody Kennedy McCullough Alyssa Shafer Bridgette Ho Brie Hill Arbaugh Susan Santiago Annabelle Gurwitch Mary Portser Timmy Deters McNally Sagal Tara Mercurio Gary Owen Wallace Langham Fred Stoller Bess Meisler Sonya Eddy Paul Anthony Reynolds Rachael Harris Mark Griffin Dennis Cockrum Don Winston Lisa Oliva Rodriguez Michelle Krusiec Kristin Cruz Brian Palermo Roger E. Reid Nathaniel Carter Tracy Britton competition success kindergarten children unemployment"
2 Guns,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from. Action Comedy Crime Denzel Washington Mark Wahlberg Paula Patton Bill Paxton Fred Ward James Marsden Edward James Olmos Robert John Burke Tait Fletcher Ambyr Childers Doris Morgado Evie Thompson Azure Parsons Edgar Arreola Patrick Fischler Christopher Matthew Cook Tim Bell Lindsey G. Smith Greg Sproles Derek Solorsano Kyle Russell Clements John McConnell Jack Landry Ritchie Montgomery Robert Larriviere Lucy Faust George Wilson Yohance Myles Jesus Jr. Samuel Baca-Garcia Michael Beasley Christopher Dempsey Bill Stinchcomb Mark Adam David Kency Gilbert Rosales Peter Gabb Jason Kirkpatrick Tony Sanford Lucky Johnson Lindsey Gort Hillel M. Sharman Aaron Zell Henry Penzi undercover undercover agent based on comic book money fugitive bank robbery dea agent
Cats & Dogs,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts. Comedy Family Jeff Goldblum Elizabeth Perkins Alexander Pollock Miriam Margolyes Tobey Maguire Alec Baldwin Susan Sarandon Charlton Heston fight governance puppy allergy 3d"
The Italian Job,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles. Action Crime Mark Wahlberg Charlize Theron Edward Norton Seth Green Jason Statham Yasiin Bey Franky G Donald Sutherland Olek Krupa Boris Lee Krutonog Fausto Callegarini Stefano Petronelli Fabio Scarpa Cristiano Bonora Tiberio Greco Jimmy Shubert Tammi Cubilette Mary Portser Gawtti Melanie Jayne Gregory Scott Cummins Erik Walker venice california train station helicopter austria mountains gold subway hacker chase safe remake caper revenge murder heist double crossed fast cars boat chase los angeles explosion convict father daughter relationship car chase tv news hollywood sign television repair mini cooper"
Two Weeks Notice,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George. Romance Comedy Sandra Bullock Hugh Grant Alicia Witt Dana Ivey Robert Klein Heather Burns David Haig Dorian Missick Veanne Cox Janine LaManna Iraida Polanco Charlotte Maier Katheryn Winnick Tim Kang Wynter Kullman Jason Antoon Francie Swift Mandy Siegfried Mark Zeisler Rocco Musacchia Jonathan Dokuchitz Joseph Badalucco Jr. Libby West Sharon Wilkins Shannon Fiedler Donald Trump new york parish hall romantic comedy lawyer billionaire environmental law"
Antz,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army. Adventure Animation Comedy Family Woody Allen Dan Aykroyd Anne Bancroft Danny Glover Gene Hackman Jane Curtin Jennifer Lopez John Mahoney Paul Mazursky Grant Shaud Sylvester Stallone Sharon Stone Christopher Walken Jim Cummings April Winchell Eric Darnell Gary Schwartz Jerry Sroka general hero worker ant work assignment war princess soldier individuality friend"
Couples Retreat,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face. Comedy Romance Vince Vaughn Malin Åkerman Jason Bateman Kristen Bell Jon Favreau Ken Jeong Kristin Davis John Michael Higgins Tasha Smith Faizon Love Temuera Morrison Peter Serafinowicz Karen David Carlos Ponce Kali Hawk Jean Reno Alexis Knapp Gattlin Griffith island married couple yoga tahiti couples therapy beautiful woman tropical aftercreditsstinger duringcreditsstinger french polynesia polynésie française"
Days of Thunder,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear. Adventure Tom Cruise Robert Duvall Nicole Kidman Randy Quaid Cary Elwes Fred Dalton Thompson John C. Reilly J.C. Quinn Don Simpson Michael Rooker Caroline Williams Margo Martindale stock-car-race daytona car crash"
Cheaper by the Dozen 2,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy, Comedy Steve Martin Eugene Levy Bonnie Hunt Tom Welling Jonathan Bennett Forrest Landis Carmen Electra Taylor Lautner Jacob Smith Kevin G. Schmidt Brent Kinsman Brent and Shane Kinsman Blake Woodruff Alexander Conti Matthew Knight Hilary Duff Alyson Stoner Morgan York Liliana Mumy Robbie Amell Adam Shankman Piper Perabo holiday lake big family father labor pain rivalry family holiday"
Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all. Action Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen Barry Pepper Lili Taylor Patricia Clarkson Ki Hong Lee Dexter Darden Jacob Lofland Nathalie Emmanuel Katherine McNamara Lora Martinez-Cunningham Rosa Salazar Tatanka Means Keith Jardine Jenny Gabrielle Bryce Romero Alan Tudyk Shawn Prince Terry Dale Parks John Trejo Laramie Cooley Alexander Flores Kathryn Smith-McGlynn Matt Metzler David House Luke Gallegos Jeremy Becerra Matthew Page Alex Knight Marc Comstock Brandon K. Hampton Ryan Jason Cook James Burnett Morse Bicknell based on novel resistance maze post-apocalyptic dystopia infection on the run escape zombie storm disease desert sewer antidote corporation virus runner city ruin immunity"
Eat Pray Love,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali. Drama Julia Roberts James Franco Javier Bardem Billy Crudup Richard Jenkins Viola Davis I. Gusti Ayu Puspawati Hadi Subiyanto A. Jay Radcliff Mike O'Malley Ashlie Atkinson Lisa Roberts Gillan Ryan O'Nan Gita Reddy Gita Reddy Gita Reddy Jen Kwok Mary Testa Tuva Novotny indonesia female protagonist india divorce bali"
The Family Man,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves. Comedy Drama Romance Fantasy Nicolas Cage Téa Leoni Don Cheadle Saul Rubinek Amber Valletta Makenzie Vega Norfolk Ryan Milkovich Jake Milkovich Lisa Thornhill Jeremy Piven Christopher Breslin workaholic second chance guardian angel christmas career vs family life reprioritizing"
RED,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants. Action Adventure Comedy Crime Thriller Bruce Willis John Malkovich Helen Mirren Mary-Louise Parker Karl Urban Richard Dreyfuss James Remar Morgan Freeman Brian Cox Ernest Borgnine Julian McMahon Michelle Nolden Jonathan Walker John Stead Laura de Carteret Emily Kuroda Justine Wachsberger Heidi von Palleske Desiree Beausoleil Chris Owens Rebecca Pidgeon Jaqueline Fleming Randy Wade Kelley Jason Giuliano Alec Rayme Lawrence Turner Joe Chrest Tara Yelland Tony De Santis cia retirement shot to death sniper rifle retired female spy alarm"
Any Given Sunday,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the aging coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove her self in a male dominated world. Drama Al Pacino Cameron Diaz Dennis Quaid James Woods Jamie Foxx LL Cool J Matthew Modine Jim Brown Lawrence Taylor Bill Bellamy Aaron Eckhart John C. McGinley Andrew Bryniarski Lauren Holly Ann-Margret Lela Rochon Ron Madoff Elizabeth Berkley Charlton Heston Delia Sheppard Mary Fanaro James Karen Gianni Russo Duane Martin Clifton Davis John Daniel Patrick O'Hara Jerry A. Sharp Marty Wright Mazio Royster Todd Smith Jamie Williams Craig Thomson Greg Orvis Rick Johnson Bjorn Nittmo Matt Martinez Pete Ohnegian Brian E. O'Neal Robert L. Goff Skip McClendon Derrick Lassic Eric Miller Oliver Stone Phil Latzman Barry Switzer Mark Robert Ellis Joseph A. Wilson Margaret Betts Antares Davis Liz Petterson Lester Speight Kirsten Krueger Joanna Theobalds Tonya Oliver Amy Dorris Sarah Penman Kathy Alzado Murray Sacha Voski Nikki Novak Michelle Bernard Lisa Ann Phillips Cat Stone Carin Abnathy Micah West Christy Tummond american football trainer training american football coach sport american football stadium
